IE_NAME;IP_PROP101;IP_PROP169;IP_PROP170;IP_PROP103;IP_PROP104;IP_PROP105;IP_PROP106;IP_PROP107;IP_PROP108;IP_PROP171;IP_PROP172;IP_PROP173;IP_PROP174;IP_PROP175;IP_PROP113
"Красноярск, Интерьерный салон &quot;Палладио&quot; ";улица Молокова, д. 28, этаж 1;;;ИП Жижина Н.И.;"Интерьерный салон ""Палладио""";3912918618;baroccokrs@mail.ru;baroccokrs@mail.ru;palladio24.ru;10:00 - 19:00;10:00 - 18:00;Выходной;Нет;;3152
Курск, Оптово - розничный склад Ремотделка ;улица Павлуновского, д. 133, стр. 1 и 2;Оптово - розничный склад Ремотделка;;ИП Матвиенко В.В.;ООО Ремотделка;9102138285;info@remotdel-ka.ru;sasin@remotdel-ka.ru;www.remotdel-ka.ru;09:00 - 17:00;09:00 - 16:00;09:00 - 15:00;Да;;3154
"Липецк, Салон &quot;Novita&quot;, ИП Костин ";улица Заводская площадь, д. 1 ;;"Мебельный салон ""Юнион""";ИП Костин;"Салон ""Novita""";9042979702;;ardekor@rambler.ru;;;;;Нет;;3331
"Липецк, Декор-Студия &quot;Кардинал&quot;, ИП Вострикова ";улица Нововесовая, д. 24;;;ИП Вострикова;"Декор-Студия ""Кардинал""";9103523676;;ardekor@rambler.ru;;;;;Нет;;3331
Липецк, ИП Шицько ;улица 50 лет НЛМК, стр. 17;Петровский рынок;;ИП Шицько;Петровский рынок, Торговый павильон № 353;9042983449;;ardekor@rambler.ru;;08:30 - 15:30;08:30 - 15:30;08:30 - 15:30;Нет;Понедельник, Вторник;3331
"Пермь, ТЦ &quot;Радуга&quot;, ЗАО &quot;Стройинтер&quot; ";улица 1-я Красноармейская, д. 8, пав. 2;"ТЦ ""Радуга""";;"ЗАО ""Стройинтер""";"""Декоративка""";3422152434;;;;10:00 - 21:00;10:00 - 20:00;10:00 - 20:00;Да;;3182
"Пермь, ТЦ &quot;Красивый Дом&quot;, ЗАО &quot;Стройинтер&quot; ";улица Соликамская, д. 313а, пав. 1;"ТЦ ""Красивый Дом""";;"ЗАО ""Стройинтер""";"""Декоративка""";3422009146;;;;09:00 - 20:00;10:00 - 19:00;10:00 - 18:00;Да;;3182
Псков, ИП Александров улица Л. Поземского ;улица Л. Поземского, д. 92, пав. 1;Строительный рынок на Алмазной;;ИП Александров;;9062217117;;;;09:00 - 18:00;09:00 - 16:00;09:00 - 16:00;Да;;3318
"Псков, ООО &quot;Пристань&quot; улица Л. Поземского ";улица Л. Поземского, д. 92, пав. 28;Строительный рынок на Алмазной;;"ООО ""Пристань""";;9062205225;;;;09:00 - 18:00;09:00 - 16:00;09:00 - 16:00;Да;;3318
Уфа, Лепной Декор (ИП Розет А.Р.) ;Менделеева, д. 137, к.4, 1 этаж, бутик 2;"Торговый комплекс ""Новая Радуга""";напротив эскалатора,  линия обои;ИП Розет А.Р.;бутик лепной декор;"3472927328; 9373250157";andrey.rozet@mail.ru;rozetufa@gmail.com;;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;3223
"Дербент, ООО &quot;ДЖЭН&quot; ";улица Гагарина, д. 101а;;;"ООО ""ДЖЭН""";"ООО ""ДЖЭН""";8724043437;firmadjen05@gmail.com;info@lepidecor.ru;www.lepidecor.ru; 08:00 - 18:00; 08:00 - 18:00; 08:00 - 18:00;Да;;6263
"Махачкала, ООО &quot;ДЖЭН&quot; ";улица Гамидова, д. 3а, цокольный этаж;;;"ООО ""ДЖЭН""";"ООО ""ДЖЭН""";"8722673635; 8722610988";firmadjen05@gmail.com;info@lepidecor.ru;www.lepidecor.ru;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;Да;;6265
"Махачкала, ДЦ &quot;Daniela villa Design&quot; ";улица Дахадаева, д. 58, 2 этаж;;;"ДЦ ""Daniela villa Design""";"ДЦ ""Daniela villa Design""";"9187344800; 9674002533";dvdesign@bk.ru;info@lepidecor.ru;www.lepidecor.ru;10:00 - 19:00;10:00 - 19:00;Выходной;Нет;;6265
"Якутск, ИП Чугунов Д.Г. &quot;Дом обоев 44&quot; ";ул. Автострада 50 лет Октября, д. 1;;;ИП Чугунов Д.Г.;"""Дом обоев 44""";9248652344;dom_oboev_44@mail.ru;dom_oboev_44@mail.ru;;10:00 - 18:00;10:00 - 18:00;10:00 - 18:00;Да;;3239
"Абакан, &quot;ЗОДЧИЕ&quot; на  Кирова (ИП Рожков С.Б.) ";улица Кирова, д. 112, этаж 1;;;ИП Рожков С.Б.;"""Зодчие""";3902287711;ninazodchi@mail.ru;ninazodchi@mail.ru;;10:00 - 19:00;10:00 - 17:00;Выходной;Нет;;3255
Самара, магазин-склад FORROOM ;18 км Московского шоссе, цокольный этаж;СТК Московский;;ООО Форрум;магазин-склад FORROOM;9023757576;;;;9:00 - 19:00;9:00 - 19:00;9:00 - 19:00;Нет;Понедельник;3192
"Сургут, Салон &quot;Архитектурный Декор&quot;, проспект Мира ";проспект Мира, д. 44/2;"Салон ""Архитектурный декор""";;"ООО ТК ""Архитектурный декор"" ИП Чащилов А.П.";"салон ""Архитектурный декор""";3462940040;galant379075@mail.ru;galant379075@mail.ru;www.decor-ad.ru;09:00 - 19:00;09:00 - 19:00;10:00 - 19:00;Да;;3209
"Тюмень, склад-магазин &quot;Архитектурный декор&quot; ";улица Д.Бедного, д. 96, стр. 6, 1 этаж;Склад г.Тюмень;;"ООО ТК ""Архитектурный декор""   ";"склад-магазин ""Архитектурный декор""";3452390125;sklad_galant@mail.ru;;www.decor-ad.ru;09:00 - 18:00;10:00 - 17:00;Выходной;Нет;;3220
"Нефтеюганск, Магазин &quot;Art-Décor&quot; ";улица Набережная, д. 16;"Магазин ""Art-Décor""";;Сукиасян Артур Людвикович Индивидуальный предприниматель;"Магазин ""Art-Décor""";"3463220935; 3463222066";artur231087@ya.ru;artur231087@ya.ru;;09:00 - 19:00;10:00 - 18:00;10:00 - 18:00;Да;;6305
"Чита, ООО &quot;Респект ЛТД&quot; ";мкр. Геофизический, д.27, пав. 7;Строит рынок Солнечный;;"ООО ""Респект ЛТД""";Респект;3022457364;dmitry_respect@mail.ru;dmitry_respect@mail.ru;;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;Да;;3235
Чита, Магазин Респект , центральный склад ;улица Инструментальная, д. 1А;Магазин Респект , центральный склад;;"ООО ""Респект ЛТД""";Респект;3022203398;dmitry_respect@mail.ru;dmitry_respect@mail.ru;;10:00 - 19:00;10:00 - 19:00;Выходной;Нет;;3235
"Иваново, Декор-центр &quot;Арагон&quot; ";улица Крутицкая, д.14а, 1 этаж;"Декор-центр ""Арагон""";;"ООО ""Декор Коллекция""";"Декор-центр ""Арагон""";"4932580208; 9631529618";aragondeco@mail.ru;aragondeco@mail.ru;www.aragondeco.ru;10:00 - 19:00;10:00 - 17:00;11:00 - 17:00;Да;;3131
Якутск, ИП Васильева Е.В. ;улица Жорницкого, д. 35, этаж 3, пав. 307, стенд 2;"ТВК ""Строительный""";;ИП Васильева Е.В.;"""Антураж""";9142714112;Anturazh_ykt@mail.ru;Anturazh_ykt@mail.ru;;10:00 - 18:00;10:00 - 18:00;10:00 - 18:00;Да;;3239
Актау, салон Design Line, ТОО «Design Line» ;14 микрорайон, д. 87, 1 этаж;Жилой дом;;ТОО «Design Line»;салон Design Line;7716550367;region1@evp.kz;zakaz@evp.kz;www.design-line.kz;10:00 - 18:00;10:00 - 18:00;Выходной;Нет;;3687
Алматы, TOO Evolution Technologies (Абдуллиных, 64) ;ул. Абдуллиных, д. 64 (шестиэтажное здание, 1 этаж);;;TOO Evolution Technologies;Салон Премьера;"7072127717; 7073037717";sales1@evp.kz;sales1@evp.kz;www.premiera.kz;10:00 - 19:00;10:00 - 17:00;Выходной;Нет;;3310
"Петропавловск, Студия Дизайна &quot;Декор&quot; (ТОО &quot;Дисконт-Север&quot;) ";улица Партизанская, д. 109, 1 этаж;;;"ТОО ""Дисконт-Север""";"Студия Дизайна ""Декор""";7773192321;region2@evp.kz;zakaz@evp.kz;;10:00 - 19:00;Выходной;Выходной;Нет;;6336
"Шымкент, (ТОО &quot;Evolution Technologies&quot;) ";ул. Туркестанская, д. 186, этаж 1;отдельностоящее здание;перекресток уг.ул. Аймауытова;"ТОО ""Evolution Technologies""";"Салон ""Премьера""";7010590024;shym.sales@evp.kz;shym.sales@evp.kz;www.premiera.kz;10:00 - 19:00;10:00 - 17:00;Выходной;Нет;;3312
Бельцы, ООО Элит Интериор, ул. Паровозная, д. 4 ;ул. Паровозная, д. 4;строительный рынок Твой Дом;;ООО Элит Интериор;Маг. Elita Décor;"37368177796; 37323122288";decorru@yandex.ru;decorru@yandex.ru;www.evroplast.md;09:00 - 17:00;09:00 - 15:00;Выходной;Нет;;3678
Кишинев, ООО Элит Интериор, ул. Александру чел Бун ;ул. Александру чел Бун, д. 108/1;Маг. Elita Décor;;ООО Элит Интериор;Маг. Elita Decor;"37322838500; 37368822241";decorru@yandex.ru;decorru@yandex.ru;www.evroplast.md;09:00 - 18:00;09:00 - 15:00;Выходной;Нет;;3297
Кишинев, ООО Элит Интериор, ул. Каля Басарабией ;улица Каля Басарабией, д. 4;Т.К. Амир;;ООО Элит Интериор;Маг. Elita Decor;"37322780047; 37368177144";decorru@yandex.ru;decorru@yandex.ru;www.evroplast.md;09:00 - 17:00;09:00 - 15:00;09:00 - 15:00;Да;;3297
Таллин, AVDS Group Ltd. ;улица Kadaka tee  /  Кадака тее, 70С, этаж 2;Торговый центр (мебель, отделочные материалы);;AVDS Group Ltd.;Салон обоев и декора FiestaDesign;37255511090;info@fiestadesign.ee;info@fiestadesign.ee;www.fiestadesign.ee;10:00 - 19:00;11:00 - 17:00;Выходной;Нет;;6349
Калуга, ИП Журавченков C.А. ;улица переулок Воскресенский, д. 29;;;ИП Журавченков C.А.;Керамика Люкс;"4842795484; 4842591338";keramika_lux@mail.ru;keramika_lux@mail.ru;;10:00 - 19:00;10:00 - 17:00;10:00 - 17:00;Да;;3143
"Псков, ООО &quot;Пристань&quot; МЕЗАНИН ";улица Яна Райниса, д. 53;;;"ООО ""Пристань""";МЕЗАНИН;9062219919;;;;09:00 - 18:00;09:00 - 18:00;Выходной;Нет;;3318
"Псков, ООО &quot;Эклектика Плюс&quot;  КАПАРОЛЦЕНТР ";улица Юбилейная, д. 32, пом.2008;;;"ООО ""Эклектика Плюс"" ";КАПАРОЛЦЕНТР;8112581515;;;;09:30 - 18:30;Выходной;Выходной;Нет;;3318
Семипалатинск,  ТОО «Крафт» ;проспект Шакарима, д. 12;Торговый центр;;ТОО «Крафт»;Домострой;"7222524306; 7222569197";;zakaz.evokz@mail.ru;;09:00 - 20:00;09:00 - 20:00;09:00 - 20:00;Да;;6383
Москва, Лепной декор (ИП Шмаленко Денис Владимирович) ;г. Реутов, ул. Северный проезд д.1, Линия 1 (2 этаж), П-1, павильон 15,16;"ТК ""Владимирский тракт""";;ИП Шмаленко Д.В.;Лепной декор;"9250181058; 4957406274";89258991628@mail.ru;info@evroplast-moskva.ru;www.evroplast-moskva.ru;09:00 - 18:45;09:00 - 18:45;09:00 - 18:45;Да;;3109
"Москва, ТК &quot;Конструктор&quot; &quot;Дом лепнины&quot; (ИП Горбаченко К.А.) ";"Ленинский район, СП Совхоз им. Ленина, МКАД (25 км), Торговый комплес ""Конструктор"", владение 4, строение 3, корпус ""Б 2"", пав.17 (2 этаж)";ТК Конструктор;;ИП Горбаченко К.А.;"""Дом лепнины""";"9250798522; 9299682068";domlepnina@mail.ru;domlepnina@mail.ru;domlepnina.ru;10:00 - 21:00;10:00 - 21:00;10:00 - 21:00;Да;;3109
"Москва, ТК &quot;Владимирский тракт&quot; (ИП Бочкова И.С.) ";"г.Реутов, а/м Москва-Н.Новгород, владение 19, Павильон 1-""А"" (1 этаж)    ";"ТК ""Владимирский Тракт""";"АЗС ""РОСНЕФТЬ""";ИП Бочкова И.С.;"Павильон 1-""А""";"9672809996; 9163163438";bochkovai@mail.ru;bochkovai@mail.ru;;09:00 - 19:00;09:00 - 19:00;09:00 - 19:00;Да;;3109
"Москва, ТЦ &quot;Город&quot; (ИП Бочкова И.С.) ";ул. Рязанский проспект, д.2, корпус 3, пав. 128;"ТЦ ""Город""";ТЦ ЛЕРУА МЕРЛЕН;ИП Бочкова И.С.;" ""Дом Лепнины"" павильон №128";"9672809996; 9163163438";bochkovai@mail.ru;bochkovai@mail.ru;;10:00 - 22:00;10:00 - 22:00;10:00 - 22:00;Да;;3109
"Москва, рынок &quot;Строймастер&quot;  (ООО ЕВРОДЕК) ";Киевское шоссе д. Дудкино, 1-й км, пав. 179, 277;"Рынок ""Строймастер"" ";;ООО ЕВРОДЕК;ЛЕПНИНА, ЛАМИНАТ;9091528234;lepno@mail.ru;lepno@mail.ru;www.lepno.ru;09:00 - 19:10;09:30 - 17:30;09:30 - 17:30;Да;;3109
"Москва,  ТК &quot;МЕЛЬНИЦА&quot; (ИП Каюмов А.А.) ";"МКАД, 41 км, Внешняя сторона, ТК ""МЕЛЬНИЦА"", павильон В19/4";"ТК ""МЕЛЬНИЦА""";;ИП Каюмов А.А.;ЕВРОПЛАСТ;9262184058;;;;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;Да;;3109
"Москва,  ТК &quot;МЕЛЬНИЦА&quot; (ИП Каюмов А.А.) ";"МКАД, 41 км, Внешняя сторона, ТК ""МЕЛЬНИЦА"", павильон Б7/6";"ТК ""МЕЛЬНИЦА""";;ИП Каюмов А.А.;ЕВРОПЛАСТ;9258517173;;;;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;Да;;3109
Москва,  г. Нахабино (ИП Каюмов А.А.) ;г. Нахабино, ул. Советская, д.118;;;ИП Каюмов А.А.;ЕВРОПЛАСТ;4952203834;;;;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;Да;;3109
Москва, Волоколамское шоссе (ИП Каюмов А.А.) ;Волоколамское шоссе вл. 116 стр.1;;;ИП Каюмов А.А.;ЕВРОПЛАСТ;9269079882;sale@lepnina-tushino.ru;sale@lepnina-tushino.ru;www.lepnina-tushino.ru;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;Да;;3109
Москва, п. Селятино (ИП Налбантов И.А.) ;51й км Киевского шоссе, п.Селятино, 1-й этаж, павильон Д-10;Селятино;;ИП Налбантов И.А.;Лепные Декоры ;89258882151;;;;09:00 - 19:00;09:00 - 19:00;09:00 - 19:00;Да;;3109
Кострома, Салон - Стильный дом (ООО «Салон - Стильный дом») ;улица Ивана Сусанина, д. 54/17;;;ООО «Салон - Стильный дом»;Салон - Стильный дом;"4942470007; 9536463821";ssdom-kostroma@mail.ru;;www.ssdom.net;10:00 - 19:00;11:00 - 17:00;Выходной;Нет;;3316
"Нижний Новгород, ООО &quot;ИнтерСтрой&quot;, Интерьерный салон &quot;Интерстрой&quot; ";улица Белинского, д. 11/66, 1 этаж;;Напротив парка Пушкина;"ООО ""ИнтерСтрой""";"Дилерский центр ""ИнтерСтрой"", Оптово-розничный склад ";"8312780314; 9036021230";decor@interstroy-nn.ru;;;09:00 - 18:00;Выходной;Выходной;Нет;;3163
"Псков, ООО &quot;Эклектика Плюс&quot;  улица Л. Поземского ";улица Л. Поземского, д. 92, пав. 2;Строительный рынок на Алмазной;;"ООО ""Эклектика Плюс"" ";;"9062216996; 9602226552";eklektika-pskov@yandex.ru;eklektika-pskov@yandex.ru;eklectika.ru;09:00 - 18:00;09:00 - 16:00;09:00 - 16:00;Да;;3318
Тамбов, Клондайк ;улица Б. Энтузиастов, д. 1 Г;"ТЦ ""Улей Строй""";;Клондайк;Клондайк;89202339907;;;;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;Да;;3211
"Бугульма , &quot;Silkplus&quot; (ИП Савостина А.В.) ";улица Энгельса, д. 1 (1 этаж);Центральный интерьерный салон;Альметьевский выезд;ИП Савостина А.В.;Silkplus;"8559461800; 9274507969";jidkie.oboi@yandex.ru;jidkie.oboi@yandex.ru;;09:00 - 18:00;09:00 - 18:00;10:00 - 17:00;Да;;6529
Октябрьский, Салон-магазин DecoRus (ИП Кутлубаев Р.Б.) ;улица Садовое Кольцо, д. 319/1, цокольный этаж;Центральный интерьерный салон ;"рядом ШЦ ""Таганка""";ИП Кутлубаев Р.Б.;Салон-магазин DecoRus;9274331000;kotlubaevr@gmail.com;kotlubaevr@gmail.com;;10:00 - 18:00;10:00 - 18:00;10:00 - 17:00;Да;;6533
"Старый Оскол, Архдекор (ООО &quot;Европласт Оскол&quot;) ";мкрн. Дубрава, д. 3, этаж 2;Строймаркет;;"ООО ""Европласт Оскол"" АрхДекор";Архдекор;9038850022;;vkhim2008@yandex.ru;;09:00 - 19:00;09:00 - 19:00;09:00 - 19:00;Да;;3374
Чебоксары, Склад 27/1 (ИП Альхимович Г.А.) ;Складской проезд, д. 6, строение 27/1;"ТСК ""Чувашгосснаб""";;ИП Альхимович Г.А.;Склад 27/1;9662494912;montmartre@sdel.ru;montmartre@sdel.ru;sdel.ru;08:00 - 18:00;09:00 - 17:00;09:00 - 16:00;Да;;3231
Кинешма, Арагон (ИП Чистяков И.А.) ;улица Комсомольская, д. 18, этаж 2;;;ИП Чистяков И.А.;"Декор-центр ""Арагон""";9203423196;aragon37@mail.ru;aragon37@mail.ru;aragondeco.ru;09:00 - 17:00;10:00 - 15:00;Выходной;Нет;;6567
"Стерлитамак, Салон &quot;ДЕКОРАМА&quot; (ИП Калашников А.В.) ";улица 23 Мая, д. 59, 1 этаж, стенд;;напротив мебельной фабрики Антарес, рядом магазин Молоток;ИП Калашников А.В.;"Салон ""ДЕКОРАМА""";"3473268740; 9173555261 (сотовый)";dekoramasalon2@gmail.com;rozetufa@gmail.com; dekoramasalon.ru;10:00 - 19:00;11:00 - 18:00;Выходной;Нет;;3207
"Уральск, Дизайн-салон &quot;Decoroom&quot; (ИП Cube Studio) ";ул.Шолохова, д.13Д, 2 этаж;"ТЦ ""Palladium""";;"ИП ""CUBE studio""";"Дизайн-салон ""Decoroom""";"7753702190; 77776168442";region1@evp.kz;zakaz@evp.kz;;10:00 - 19:00;10:00 - 16:00;10:00 - 16:00;Да;;3689
Нефтекамск, Дом Декор (ИП Березина С.В.) ;"улица Ленина, д. 82-""А"", этаж 2";ТЦ “Великан”;;ИП Березина С.В.;Дом Декор;9174157223;sv-luna@mail.ru;;;11:00 - 19:00;11:00 - 19:00;Выходной;Нет;;6572
Нефтекамск, Дом Декор (ИП Березина С.В.) ;"улица К. Маркса , д. 10-""В"", этаж 1";;;ИП Березина С.В.;Дом Декор;9174157223;sv-luna@mail.ru;;;11:00 - 19:00;11:00 - 19:00;Выходной;Нет;;6572
Октябрьский, Гарелея Интерьеров (ИП Перцева Г. М.) ;улица Губкина, д. 15, этаж 1;;;ИП Перцева Г. М.;Гарелея Интерьеров;9273016780;almuhametova.elv@yandex.ru;rozetufa@gmail.com;;10:00 - 19:00;10:00 - 15:00;10:00 - 15:00;Да;;6533
"Октябрьский, &quot;Студия комфорта&quot; (ИП Ключникова В.И.) ";улица Свердлова, д. 16, 1 этаж;;;ИП Ключникова В.И.;"""Студия комфорта""";"3476750580; 9371506937";st-komforta@mail.ru;rozetufa@gmail.com;;10:00 - 19:00;10:00 - 17:00;10:00 - 17:00;Да;;6533
Октябрьский, ТЦ НАРЫШЕВО (Оптовый центр) ;"улица 8 Марта, д. 9-""А""";ТЦ  НАРЫШЕВО;;Оптовый центр;ТЦ НАРЫШЕВО;3476744950;ilfir79@mail.ru;;;09:00 - 20:00;09:00 - 20:00;09:00 - 20:00;Да;;6533
"Псков, ООО &quot;Эклектика Плюс&quot;  улица Л. Поземского ";улица Л. Поземского, д. 92, пав. 28А;Строительный рынок на Алмазной;;"ООО ""Эклектика Плюс"" ";;9602258327;;;;09:00 - 18:00;09:00 - 16:00;09:00 - 16:00;Да;;3318
Великий Новгород, Салон «38 ПРЕДЛОЖЕНИЙ» (ИП Вакурова Л.М.) ;улица Мира, д. 34/11, этаж 2, стенд 3;Собственное встроенное помещение;;ИП Вакурова Л.М.;Салон «38 ПРЕДЛОЖЕНИЙ»;9116075445;salon38@mail.ru;38pr@mail.ru;38pr.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 18:00;Да;;3299
"Мытищи, &quot;Дом-декора&quot; (ИП Кулебякина Т.В.) ";г. Мытищи, ул. Большая Тарасовская, д. 111, строение 11  (11км Ярославского шоссе), пав. 22;ТК Тарасовка;;ИП Кулебякина Т.В.;"""Дом-декора""";4955850042;tatiana16.11.08@mail.ru;;www.dom-dekora.ru;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;Да;;3109
"Брянск, ТЦ &quot;Аэропарк&quot; (ИП Кощенков Д.Е.) ";улица Объездная, д. 30, этаж 2;"Торговый центр ""Аэропарк""";Мебель Холл;ИП Кощенков Д.Е.;"салон ""Империя Декора""";"4832309957; 4832309957";imperiya_dekora32@mail.ru;imperiya_dekora32@mail.ru;imperiya-dekora.ru;10:00 - 22:00;10:00 - 22:00;10:00 - 22:00;Да;;3118
"Ереван, ExteriorGroup-1 (ООО &quot;Экстериер Групп&quot;) ";пр. Комитаса , д. 3/104;ExteriorGroup-1;;"ООО ""Экстериер Групп""";"сетевые магазины ""Экстериер Групп""";"37410222801; 37410222801";exterior-s@mail.ru;info@exterior.am;;09:00 - 19:00;10:00 - 18:00;10:00 - 18:00;Да;;6692
"Ереван, ExteriorGroup-2 (ООО &quot;Экстериер Групп&quot;) ";пр. Комитаса , д. 3/122;ExteriorGroup-2;;"ООО ""Экстериер Групп""";"сетевые магазины ""Экстериер Групп""";"37410270112; 37410270112";;info@exterior.am;;09:00 - 19:00;10:00 - 18:00;10:00 - 18:00;Да;;6692
"Ереван, ExteriorGroup-3 (ООО &quot;Экстериер Групп&quot;) ";ул. Рубинянца, д. 15/3;ExteriorGroup-3;;"ООО ""Экстериер Групп""";"сетевые магазины ""Экстериер Групп""";"37410205667; 37496205667";;info@exterior.am;;09:00 - 19:00;10:00 - 18:00;10:00 - 18:00;Да;;6692
"Ереван, ExteriorGroup-4 (ООО &quot;Экстериер Групп&quot;) ";ул. Нар-Дос, д. 75/164;ExteriorGroup-4;;"ООО ""Экстериер Групп""";"сетевые магазины ""Экстериер Групп""";"37410550477; 37496517705";;info@exterior.am;;09:00 - 19:00;10:00 - 18:00;10:00 - 18:00;Да;;6692
"Ереван, ExteriorGroup-5 (ООО &quot;Экстериер Групп&quot;) ";ул. Вардананца, д. 22 176/1;ExteriorGroup-5;;"ООО ""Экстериер Групп""";"сетевые магазины ""Экстериер Групп""";37496202701;;info@exterior.am;;09:00 - 19:00;10:00 - 18:00;10:00 - 18:00;Да;;6692
"Ереван, ExteriorGroup-6 (ООО &quot;Экстериер Групп&quot;) ";ул. Аршакуняца, д. 210/1;ExteriorGroup-6;;"ООО ""Экстериер Групп""";"сетевые магазины ""Экстериер Групп""";"37410486700; 37410486700";;info@exterior.am;;09:00 - 19:00;10:00 - 18:00;10:00 - 18:00;Да;;6692
"Ереван, ExteriorGroup-7 (ООО &quot;Экстериер Групп&quot;) ";ул. З.Андраника, д. 147/2;ExteriorGroup-7;;"ООО ""Экстериер Групп""";"сетевые магазины ""Экстериер Групп""";"37411721535; 37496705509";;info@exterior.am;;09:00 - 19:00;10:00 - 18:00;10:00 - 18:00;Да;;6692
"Ереван, ExteriorGroup-8 (ООО &quot;Экстериер Групп&quot;) ";ул. Аршакуняца, 17А 229;"ExteriorGroup-8 торговый центр ""Петак""";;"ООО ""Экстериер Групп""";"сетевые магазины ""Экстериер Групп""";37499572001;;info@exterior.am;;09:00 - 19:00;10:00 - 18:00;10:00 - 18:00;Да;;6692
Ереван, Давид Анахти (Валан Декор студия) ;ул. Давид Анахти, д. 23/10;;;Валан Декор студия;магазин студия;"37460543512;  37496004081";valandekor@gmail.com ;info@exterior.am;;09:00 - 19:00;10:00 - 18:00;10:00 - 18:00;Да;;6692
Ашхабад, Магазин Ussat (ЧП Чарлиев И.Е.) ;10-й ыллык Абаданчылык, д. 128, 1-й этаж;;;Частный предприниматель Чарлиев И.Е.;Магазин Ussat;"99365609066; 99366402204; 99312483104";juma6868@mail.ru;juma6868@mail.ru;;10:00 - 19:00;10:00 - 16:00;Выходной;Нет;;6705
"Бишкек, ТД &quot;Галерея&quot; (ОсОО &quot;Галерея&quot;) ";7 микр-н, Ортосайский рынок;Торговый дом;Пересечение ул. Жукеева-Пудовкина / ул.Донецкая ;"ОсОО ""Галерея""";"ТД ""Галерея""";"996312576461;  996312899230";;zakaz.evokz@mail.ru;www.gallery.kg;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;Да;;6714
"Ош, Магазин «REdeco»  (ОсОО &quot;Дом света&quot;) ";ул. Шакирова, д. 108а; ТД «Ош Таатан»;;"ОсОО ""Дом света""";Магазин «REdeco» ;996555087378;;zakaz.evokz@mail.ru;www.gallery.kg;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;Да;;6715
Тамбов, Парад Цвета ;улица Агапкина, д. 14;;;Парад Цвета;Парад Цвета;9629939739;;;;09:00 - 18:00;09:00 - 15:00;09:00 - 15:00;Да;;3211
"Актобе, интерьер-студия &quot;Real Decor&quot; ИП Мамбеталина К.Б "; пр.Санкибай батыра, 74/4 (1 этаж);;здание Респект, рядом с рестораном Респект;ИП Мамбеталина К.Б.;"интерьер-студия ""Real Decor""";7013365911;region1@evp.kz;zakaz@evp.kz;;10:00 - 18:00;Выходной ;Выходной ;Нет;;3691
"Атырау, интерьер -студия &quot;Real Decor&quot; (ИП &quot;Мамбеталина К.Б&quot;) ";ул. Сатпаева, д. 28 (1 этаж);;;"ИП ""Мамбеталина К.Б""";"интерьер -студия ""Real Decor""";"7784052722; 7013365911";region1@evp.kz;zakaz@evp.kz;;10:00 - 18:00;Выходной;Выходной;Нет;;6325
Караганда, Мастерская интерьера (ИП Жусупбекова) ;ул. Бухар-жырау, 92/2, 1 этаж;;;ИП Жусупбекова;Мастерская интерьера;"7017818680; 7071100081";region2@evp.kz;zakaz@evp.kz;;10:00 - 18:00;Выходной;Выходной;Нет;;3347
Кызылорда,  ИП Кутыбаева Г. ;ул. М.Шокая, д. 33А, этаж 2, пав. 6;"ТД ""Мегастрой""";;ИП Кутыбаева Г.;;7051461950;region1@evp.kz;zakaz@evp.kz;;10:00 - 18:00;Выходной;Выходной;Нет;;6728
"Шымкент, салон &quot;Remart Home&quot; ИП Кудинов ";ул.Мадели Кожа, д. 35, правое крыло, этаж 1-3;;;ИП Кудинов А.А.;"салон ""Remart Home""";"7012952991; 1078404009";region1@evp.kz;zakaz@evp.kz;;10:00 - 18:00;10:00 - 18:00;Выходной;Нет;;3312
Экибастуз,  ИП Лаврова Н. ;ул. Ауэзова, д. 49, корпус 7, этаж 1;жилой дом (6-этажное здание);;ИП Лаврова Н.;"Магазин ""Краски""";"7187400030; 7474384307";;zakaz.evokz@mail.ru;;09:00 - 19:00;09:00 - 19:00;09:00 - 19:00;Да;;6733
"Семипалатинск,  ИП &quot;Климат Контроль&quot; "; ул. Б.Момышулы, 41/1, корпус 1;Жилой дом;;"ИП ""Климат Контроль""";"""Премиум""";"7222320592; 7478520137";;zakaz.evokz@mail.ru;;09:00 - 18:00;10:00 - 18:00;Выходной;Нет;;6383
"Кызылорда,  Дизайн-студия &quot;Sointera&quot; (ИП &quot;Бектаева&quot;) ";ул.Коркыт ата, д. 105, (этаж 1);;;ИП Бектаева А.Б.;"Дизайн-студия ""Sointera""";"7775303230; 7783137475";region1@evp.kz;zakaz@evp.kz;;10:00 - 19:00;10:00 - 19:00;Выходной;Нет;;6728
