 Дата  вопроса ;Вопрос;Ответ;Город
﻿03.12.2021; Д  день.  Подскажите  пожалуйста,  модель  самого  минималистичного  гладкого  плинтуса  в  размере  около  10  см  высотой,  у  которого  есть  вариация  в  гибком  исполнении? ; Добрый  день,  Юлия.    У  нас  есть  в  размере  70  мм  https://evroplast.ru/plintusy/1-53-106/  90  мм  https://evroplast.ru/plintusy/6-53-701/  110  мм  https://evroplast.ru/plintusy/1-53-103/   ;Москва
﻿04.12.2021; Добрый  день.  Меня  зовут  Светлана.  Я  хотела  бы  приобрести  1.50.147  -  50мп  мой  телефон  89161132813 ; Добрый  день,  Светлана,  менеджер  свяжется  с  вами  в  ближайшее  время. ;Москва
﻿05.12.2021; Добрый  день!  При  монтаже,  клей  случайно  попал  на  обои.  Я  использовал  фирменный  КЛЕЙ  Е01.М.290.  Чем  можно  удалить  клей  с  поверхности?   ; Добрый  день,  Александр!  Клей  необходимо  убирать  влажной  ветошью  сразу  при  попадании  на  обои.  В  случае  отверждения  клей  убрать  можно  только  аккуратно  срезав  малярным  ножом.  Возникнут  вопросы  звоните  по  телефону:  +7968-819-03-97  Александра. ;Санкт-Петербург
﻿06.12.2021; ДД.  как  у  вас  называется  преформа  для  ПЭТ  бутылок  -  научное  название? ; Добрый  день,  Владимир,  мы  не  производим  преформы  для  бутылок. ;Екатеринбург
﻿07.12.2021; здравствуйте,  напишите  мне  пожалуйста  на  WA    по  наличию  и  стоимости.  к  стеновому  покажите  какие  есть  варианты  по  углам? ; Добрый  день,  Максим.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя  "ЕВРОПЛАСТ-НОВОСИБИРСК"  шоу-рум  DECOLE  Адрес:  Новосибирск,  ул.  Фабричная,  д.  31,  корпус  5  отдельно  стоящее  здание  справа  от  въезда  в  Лофт-квартал  "Мельница"  Телефон/факс:  +7  (383)  359-60-40,  +7  (383)  359-60-41  E-mail:  manager@evroplast-nsk.ru  evroplast-nsk.ru   ;Новосибирск
﻿07.12.2021; Добрый  день!  Хочу  запросить  КП  на  молдинги  1.51.400  -  78  м  и  Элемент  1.52.400  28  шт ; Добрый  день,  Полина.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя  Европласт-Санкт-Петербург  PITERRA  Отдел  продаж  8  (800)  707-01-67  с  10:00  до  20:00  Shop@piterra.ru  www.piterra.ru     ;Санкт-Петербург
﻿08.12.2021; Есть  ли  у  вас  такие  молдинги  ? ; Добрый  день,  Юлия.  На  стенах  использованы  панели,  в  нашем  ассортименте  таких  панелей  нет.  Карнизы  аналогичные  на  картинке  мы  сможем  подобрать. ;Екатеринбург
﻿08.12.2021; Необходимо  вернуть  приобретенный  товар.  Товар  в  заводской  упаковке,  надлежащего  качества.   ; Добрый  день,  Артур.  с  Вами  свяжется  наш  менеджер.   ;Москва
﻿09.12.2021; ДОбрый  вечер.  Где  можно  увидеть  ваши  образцы  полуколонн? ;   Добрый  вечер,  Елена  Левановна!  Образцы  можно  увидеть  в  нашем  фирменном  салоне:    расположенном  в  ЦдиИ  "Экспострой  на  Нахимовском"    г.  Москва,  Нахимовский  пр-т,  д.  24,  2  этаж,  павильон  №3,  салон  49/2    Тел.:  +7  (495)  116-55-36,  +7  (495)  116-55-37    salonn@decor-evroplast.ru ;Москва
﻿09.12.2021; Здравствуйте,  подскажите  как  ведет  себя  лепнина  в  помещениях  для  хамама  и  можно  ли  ее  там  использовать?  Заранее  спасибо  за  ответ ; Добрый  день,  Татьяна  мы  не  рекомендуем  использование  в  самой  зоне  хамам,  только  в  предзоне. ;Магнитогорск
﻿10.12.2021; Здравствуйте!  Вопрос  по  молдингу  1.50.502.  У  вас  указана  толщина  35  мм.  Если  перерисовать  ваше  сечение  с  сайта,  то  толщина  получится  около  20мм.  Какая  точно  толщина  этого  молдинга?   ; Добрый  день,  Марина,  сечение  по  максимально  выступающей  точки  35  мм  http://joxi.ru/vAWq7qqFBekD5m ;Минск
﻿10.12.2021; Интересуют  потолочных  багеты  под  натяжной  потолок.  Высота  по  стене  ГКЛ  160  мм.  Можете  что-нибудь  предложить? ; Добрый  день,  наш  представитель  в  регионе  свяжется  с  вами  для  подбора.  Декор  -  Европласт  Статус  Кво  Адрес:  улица  Горсоветская  д.  33,  1  этаж    Декор-Европласт    Телефон/факс:  +7  (987)  226-33-55,  +7  (987)  270-12-67    E-mail:  zakaz@evroplast116.ru    evroplast116.ru  Время  работы:  Будни    09:00  -  19:00    Суббота    10:00  -  18:00    Воскресенье    Выходной ;Казань
﻿12.12.2021; Здравствуйте!  Подскажите,  пожалуйста,  у  Вас    есть  изделия,  подобные  тем,  что  на  фото?  Мне  нужен  прямой  карниз  на  натяжной  потолок,  скрывающий  алюминиевые  или  ПВХ  профили  для  штор,  чтобы  можно  было  повесить  за  ним  минимум  2  ряда  штор  (а  лучше  3)?  Длина  карниза  примерно  3,4  метра.  В  вашем  каталоге  я  увидела  подобные  профили,  но  небольшого  размера  (3  и  5  см).  Стиль  интерьера  -  современный. ; Добрый  день,  подобных  изделий  у  нас  нет.  К  сожалению  крепление  к  натяжному  потолку  не  возможно. ;Иркутск
﻿12.12.2021; Нужен  арочный  молдинг,  длинна  арки  315  мм.  Помогите  выбрать ; Добрый  день,  Елена.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  «Европласт-Нижний  Новгород»  Салон  Избранное  (ИП  Негина  О.С.),  улица  Белинского,  д.  11/66  Напротив  парка  Пушкина,  Название  крупными  буквами  "Избранное"  Тел.:  +7  (831)  212-88-83,  +7  (831)  421-38-88    evroplast@elite-nn.ru    Если  Вас  заинтересует  декор  для  отделки  и  оформления  фасада,  Вам  помогут  в  выборе  и  подборе  в  Центр  Фасадного  декора  (ИП  Негина  О.С.),  улица  Белинского,  д.  11/66,  этаж  цоколь  Тел.:  +7  (831)  212-88-83,  +7  (831)  421-11-55    fasad@elite-nn.ru   ; Нижний  Новгород 
﻿13.12.2021; Здравствуйте  на  карнизе    1,50,167  сколько  расположено  узоров.  Один  или  два.  спасибо   ; Екатерина,,  добрый  день,  по  ссылке  скрин  чертежа  http://joxi.ru/vAWq7qqFBe65Mm,  он  есть  в  карточке  товара. ;Калининград
﻿13.12.2021; Здравствуйте.  Делала  ремонт  в  квартире  и  приобрела  потолочные  плинтуса  производства  Европласт.  Не  прошло  и  двух  месяцев,  пошли  везде  трещины.  Стали  расходиться  стыковочные  швы,  отходить  от  стен  и  потолка,  вездеход  углам  пошли  трещины.  Чем  дальше,  тем  больше.  Ремонт  выполняли  частные  мастера.    Подскажите,  что  произошло,  в  чем  причина  такого  поведения  материала,  что  делать  дальше  и  какие  есть  пути  выхода  из  данной  ситуации?   ; Добрый  день,  Елена.  Монтаж  был  произведен  с  нарушениями  технологии  -  не  прогрунтованная  или  плохо  прогрунтованная  поверхность,  неправильное  применение  или  замена  рекомендованных  заводом  клеев.  По  фото  можно  предположить,  что  стыковочный  клей,  обязательный  при  монтаже  не  применялся.  Менеджер  сервисного  отдела  свяжется  с  Вами  для  согласования  выезда  на  осмотр  и  определения  причин.  Спасибо.   ;Москва
﻿14.12.2021; Мне  нужен  потолочный  плинтус  или  карниз  для  светодиодной  подсветки. ; Добрый  день,  Ольга.    с  Вами  свяжется  наш  менеджер  и  поможет  выбрать  необходимый.     ;Москва
﻿15.12.2021; Добрый  день!  Ищем  такой  или  похожий  плинтус.  Белый  цвет,  ширина  110мм,  толщина  15мм.  Нужно  51  погонный  метр.  Есть    ли  у  вас  такие  плинтуса  или  близкие  по  размерам ; Добрый  день,  Павел.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  "ЕВРОПЛАСТ-НОВОСИБИРСК"  шоу-рум  DECOLE  Адрес:  Новосибирск,  ул.  Фабричная,  д.  31,  корпус  5  отдельно  стоящее  здание  справа  от  въезда  в  Лофт-квартал  "Мельница"  Телефон/факс:  +7  (383)  359-60-40,  +7  (383)  359-60-41  E-mail:  manager@evroplast-nsk.ru  evroplast-nsk.ru   ;Новосибирск
﻿15.12.2021; Здравствуйте!  Нам  нужны  3  вида  молдинга.  Общая  стоимость  около  50000₽.    1.Есть  ли  скидки?  2.  Мы  находимся  в  г.Ульяновск,  какие  есть  варианты  доставки/самовывоза?  3.  Сколько  по  времени  занимает  комплектация  и  доставка  товара?  Спасибо  заранее. ; Добрый  день,  Александра.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  ЕВРОПЛАСТ-УЛЬЯНОВСК  ООО  "РАДА"  9  -й  проезд  Инженерный,  д.  30,  строение  7  Тел.:  +7  (8422)  26-00-11,  +7  (8422)  25-06-81  ul.evroplast@gmail.com   ;Ульяновск
﻿15.12.2021; Добрый  день,  какие  карнизы    ассортимента  европласт  можно  монтировать  с  натяжным  потолком? ; Добрый  день,  Елена,  любой  карниз  можно  смонтировать  под  натяжной  потолок,  необходимо  закрепить  его  дополнительно  3  саморезами  на  2  метра.  Подскажите  в  каком  городе  вы  находитесь,  наши  менеджеры  свяжутся  с  вами  для  подбора.     ;Москва
﻿16.12.2021; Здравствуйте!  Можно  ли  использовать  розетку  1.56.015  на  фасад  здания?  Судя  по  вашей  галерее,  можно.  Но  в  магазине  сказали,  что  только  внутри  помещения. ; Добрый  день,  Ирина.  Да,  можно.  Используйте  универсальный  клей  для  крепления  https://evroplast.ru/klei-90/E04-U-290/ ;Оренбург
﻿16.12.2021; Добрый  день,    на  фото  это  у  Вас  какие  молдинги?  Те  что  на  главном   ; Добрый  день,  Сузанна,  https://evroplast.ru/moldingi/1-51-355/ ;Калининград
﻿16.12.2021; Здравствуйте,  хотела  узнать  сколько  будет  стоить  доставка  до  Магнитогорска  ,  если  купить  пять  багетов  плинтуса   ; Добрый  день,  Елена.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  ЕВРОПЛАСТ-МАГНИТОГОРСК  салон  Lux  Decor  ИП  Козлова  Н.Б,  Адрес:  г.  Магнитогорск,  улица  Калинина  д.1  Бывшее  детское  кафе  "Сказка"  Телефон/факс:  +7  (3519)  22-18-99  E-mail:  decorsalon@gmail.com      Салон  Декоратор  ИП  Козлова  Н.Б,  Адрес:  г.  Магнитогорск,  улица  Советская,  д.  160а,  корп.  2  Напротив  кафетерия  Телефон/факс:  +7  (912)  808-65-55   ;Екатеринбург
﻿17.12.2021; Добрый  день!  Подскажите,  где  можно  срочно  купить  КАРНИЗ  ГИБКИЙ  1.50.623  в  Москве  в  наличии?   ; Добрый  день,  Татьяна.  наш  менеджер  свяжется  с  Вами.   ;Москва
﻿18.12.2021; можете  сказать  код  элементов  на  фото ; Добрый  день,  Фидан.  У  нас  нет  таких  элементов  в  ассортименте. ;Баку
﻿20.12.2021; Прошу  уточнить,  в  какое  время  будет  доставлен  заказ  N  19410?    Заказ  полностью  оплачен.  Доставка  была  запланирована  на  пятницу  17.12.2021  с  9.00  до  18.00.    Спасибо! ; Добрый  день,  Ольга.  Сегодня  ваш  заказ  будет  доставлен  до  18.00,  за  час  до  прибытия  водитель  наберет  Вас.      Позже  наш  менеджер  свяжется  с  Вами  для  уточнения.   ;Москва
﻿20.12.2021; Нужно  просчитать  карнизы  и  плинтуса  и  сориентировать  по  цене  и  наличию ; Доброе  утро,  Александр.  наш  менеджер  с  Вами  свяжется.   ;Москва
﻿21.12.2021; Добрый  день.  Интересует  есть  ли  в  наличии  в  Самаре  данный  плинтус  плинтус  1.53.106,  20шт ; Добрый  день,  Ольга.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  ЕВРОПЛАСТ-САМАРА  Бутик  интерьера  Forroom  ООО  "Форрум"  Адрес:  ул.  Арцыбушевская,  д.  33  (1  этаж)  Телефон/факс:  +7  (846)  200-06-43  E-mail:  forroom@forroom.ru   ;Самара
﻿21.12.2021; Здравствуйте,  с  кем  поговорить  по  дилерству? ; Добрый  день,Салтанат  .  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  Дизайн  интерьер  City  ИП  Кутыбаева    Адрес:  ул.М.Шокая,  д.33А,  2  этаж,  пав.4,6    Телефон/факс:  +7  (705)  146-19-50    E-mail:  region1@evp.kz    Время  работы:  Будни  10:00  -  18:00    Суббота  10:00  -  18:00    Воскресенье  10:00  -  18:00    Без  выходных ;Кызылорда
﻿22.12.2021; Здравствуйте,    можно  узнать  на  счёт  изделий  полиуретана  из  flex,  работаю  с  вашей  продукцией  уже  много  лет  ,  окрас  виду  полиуретана  разными  воимульсионными  красками(хорошими)и  всегда  flex  со  временем  начинает  желтеть,а  обычный  нет  и  на  фоне  разных  мат.  это  заметно,  может  я  что  то  упустил  ни  где  информации  про  это  нету,  но  косяк  есть))) ; Добрый  день,  Игорь.  Некоторые  краски  при  взаимодействии  с  нашим  грунтом  дают  желтизну.  Сейчас  мы  заменили  грунт  и  так  же  составили  список  рекомендуемых  красок,  пришлю  их  в  течении  дня  как  получу  от  технологов. ;Ростов-на-Дону
﻿22.12.2021; Добрый  день!    Подскажите  ,  у  вас  есть  такой  карниз?  Может  быть  похожий? ; Добрый  день,  вот  такая  есть  похожая  модель  https://evroplast.ru/karnizy/1-50-146/ ;Брянск
﻿23.12.2021; Здравствуйте!  Интересует    В  наличии  карниз  1.50.168 ; Добрый  день,  Анна.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  «Европласт-Нижний  Новгород»  Салон  Избранное  (ИП  Негина  О.С.),  улица  Белинского,  д.  11/66  Напротив  парка  Пушкина,  Название  крупными  буквами  "Избранное"  Тел.:  +7  (831)  212-88-83,  +7  (831)  421-38-88    evroplast@elite-nn.ru   ; Нижний  Новгород 
﻿23.12.2021; Здравствуйте,  подскажите,  пожалуйста,  есть  ли  в  Вашем  ассортименте  такие  3д  панели?  Заранее  спасибо  ) ; Добрый  день,  Анастасия.  У  нас  в  ассортименте  нет  таких  панелей. ;Санкт-Петербург
﻿24.12.2021; Добрый  день!  Хотел  узнать  судьбу  заказа  №  19501.  Оформил  товар  в  корзине  строго  по  форме,  а  в  ответ....тишина! ;;Ростов-на-Дону
﻿25.12.2021; Какие  скидки  возможно  получить  при  заказе  40-50  м ; Добрый  день,  Александр.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  Вы  можете  обращаться  к  нашему  официальному  представителю,  это  компания  ООО  «ПЛАНЕТА  ДЕКОРА».    Головной  склад  и  офис  компании  находятся  в  г.  Раменское,  Московской  области:    «ЕВРОПЛАСТ-ВЛАДИМИР»  ООО  "ПЛАНЕТА  ДЕКОРА"  Тел.:  +7  (499)  755-52-27,  8-800-222-52-27  mail@planeta-decora.ru  www.planeta-decora.ru    У  компании-дилера  есть  партнёры  в  г.  Муром:    «ЕВРОПЛАСТ-МУРОМ»  Магазин  «Товары  для  дома»  ООО  «ВМС  «Колор»  ул.  Коммунистическая,  д.  1    Тел.:  +7  (492)  342-27-60,  8-492  349  18  04-222-52-27  wms08@mail.ru  www.planeta-decora.ru   ;Муром
﻿25.12.2021; Добрый  вечер,  установил  ваши  потолочные  плинтусы  года  два  назад.  Пошли  трещены  на  швах  из-за  неправильного  монтажа  моей  бригады  (не  ваши  специалисты).  Хотел  уточнить,  есть  ли  у  вас  специалисты  по  ремонту  потолочных  плинтусов,  которых  вы  рекомендуете?  Есть  ли  у  вас  такой  сервис  в  компании? ; Добрый  вечер,  Константин.  Менеджер  сервисного  отдела  свяжется  с  Вами  в  понедельник  27  декабря.  Спасибо. ;Москва
﻿26.12.2021; Предоставляете  ли  вы  постоянные  скидки  строителям? ; Добрый  день.  Ваш  вопрос  отправлен  специалисту.  Ответят  в  ближайшее  время. ;Москва
﻿27.12.2021; Мне  бы  хотелось  сделать  предварительный  расчет. ; Добрый  день,  Елена.    наш  менеджер  свяжется  с  Вами.   ;Москва
﻿28.12.2021; Здравствуйте.  Имеется  фреска  на  флизолиновой  основе.  Можно  Ваш  клей  использовать  для  поклейки  фрески  размером  200  х  150  см    на  стену? ; Добрый  день,  Евдокия.  Для  фрески  нужно  использовать  специальный  клей  обоев  на  флизилиновой    основе. ;Орел
﻿29.12.2021; Здравствуйте.    Где  в  Алматы  Казахстан  можно  купить  6.50.230  потолочные  плинтусы.??  Нам  не  хватило  3шт. ; Добрый  день,  Раушан.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  ЕВРОПЛАСТ-КАЗАХСТАН  TOO  Evolution  Technologies  Салон  Премьера  Адрес:  г.  Алматы,  ул.  Абдуллиных,  д.  64  (шестиэтажное  здание,  1  этаж)  Телефон/факс:  +7  (707)  212-77-17,  +7  (707)  303-77-17  E-mail:  sales1@evp.kz  www.premiera.kz     ;Алматы
﻿05.01.2022; Здравствуйте!  Нашла  у  вас  прохожий  на  нужный  мне  плинтус.  А  вот  размеры  не  открываются.  Куча  одинаковых  плинтус  с  разной  стоимостью...Я  так  понимаю,  они  отличаются  высотой.  Подскажите,  артикулы  -  карниз  1.50.121,карниз  1.50.177...1.50.146  какой  они  высоты?Мне  нужен  карниз  такого  формата,но  высотой  10  сантиметров. ; Добрый  день,  Дарья.  1.50.121  размером  10  см. ;Краснодар
﻿05.01.2022; Добрый  день,  меня  интересуют  декоративные  панели  для  обрамления  примыканий  лестницы  к  стенам ; Добрый  день,  Николай.  В  каком  городе  вы  находитесь,  наш  представитель  свяжется  с  Вами  и  проконсультирует. ;Казань
﻿06.01.2022; Подскажите  какие  у  Вас  условия  сотрудничества  с  архитекторами.  Какие  требования  ? ; Добрый  день,  Мария.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  ЕВРОПЛАСТ-РОСТОВ  "Салон  Декор"  ИП  Левичев  С.В.  Адрес:тг.  Ростов-на  –Дону,  ул.  Красноармейская,  д.  87/50,  1  этаж,  стенд  1  Между  проспектом  Соколова  и  проспектом  Ворошиловским  по  ул.  Красноармейской  Телефон/факс:  +7  (863)  220-89-80,  +7  (863)  232-39-21  E-mail:  decor-rostov@mail.ru  evroplast-rostov.ru   ;Ростов-на-Дону
﻿06.01.2022; интересует  гибкий  молдинг  для  арки  прошу  глубина  30х30  прошу  сообщить  по  радиусу   ; Добрый  день,  Татьяна.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя  Европласт-Пермь    ЗАО  "СТРОЙИНТЕР"                                                                                      Салоны  "Декор  центр"                                                                              Адрес  центрального  офиса:  улица  Ленина,  д.  15                                                                                          Телефон/факс:  +7  (342)  219-05-70  +7  (342)  219-05-71  +7  (342)  225-20-15  stroyinter-dir@yandex.ru      ВИЗАРД  ООО  "ВИЗАРД-  ИНТЕРЬЕРНЫЕ  РЕШЕНИЯ",  ИП  Катаев  А.А.  ул.  Н.  Островского,  44а,  2-этаж  (отдельно  стоящее  здание)  Тел.:  +7  (342)  214-14-00  plotnikov_wizard@mail.ru   ;Пермь
﻿06.01.2022; Добрый  вечер,  хотела  узнать  при  заказе  на  9000  рублей  у  вас  есть  скидки ; Добрый  день,  Ирина.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  ЕВРОПЛАСТ-ПЕНЗА:  «Центр  Обоев»  ИП  Асаева  Н.Е.,  ООО  "ДЕКОР"  Адрес:  г.  Пенза,  ул.  Плеханова,  д.14,  этаж  1,  Телефон/факс:  +7  (8412)  20-07-77  E-mail:  coevroplast@yandex.ru  centroboev.ru   ;Пенза
﻿07.01.2022; Нужна  помощь  в  подборе ; Добрый  день,  Лейсан.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  Европласт-Башкортостан  Салон  Розет  (ИП  Розет  Р.Р.)  Уфа,  улица  Кирова,  д.  34  (1  этаж)  Тел.:  +7  (347)  276-85-13,  +7  (917)  375-51-00  rozetufa@gmail.com   ;Уфа
﻿10.01.2022; Добрый  день,  подскажите,  пожалуйста,  нужны  плинтуса  напольные,  белые  и  ширина  по  полу  от  2,5см  у  вас  в  наличии  я  их  вижу  Мой  мастер  сказал,  что  они  должны  крепиться  на  дюпеля  к  стене  и  потом  крепится  "экран",  но  я  вижу  что  тип  крепления  указан-клей ; Добрый  день,  Анжелика.  Монтаж  плинтусов  производится  при  помощи  рекомендованных  клеев  европласт  (стыковочный  клей  и  монтажный  клей  Европласт).  Монтаж  производится  на  подготовленную  поверхность  -  прошпаклеванную  и  прогрунтованную.  Монтаж  на  обои,  декоративную  штукатурку,  окрашенную  поверхность  не  рекомендуется.  Более  подробно  с  пошаговой  инструкцией  по  установке  плинтуса,  Вы  можете  ознакомиться  на  нашем  сайте,  в  разделе  Монтаж/Инструкции/Монтаж  плинтуса  :  https://evroplast.ru/install/.  Спасибо. ; Нижний  Новгород 
﻿11.01.2022; Помогите  пожалуйста  подобрать  плинтус  на  замену  того  что  на  фото    высота  11-12  см  ,  без  лепнины  ,  материал  -  полиуретан ; Добрый  день,  Ольга.  наш  менеджер  свяжется  с  Вами  и  предложит  модели  из  нашего  ассортимента.   ;Москва
﻿12.01.2022; Цена  плинтуса  1.53.106   ; Добрый  день,  Павел.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  ЕВРОПЛАСТ-БЕЛАРУСЬ  ЧТУП  "Салон  интерьера"  Адрес:    г.  Минск,  улица  Пономаренко,  35А,  оф.  103    Телефон/факс:  +375  (17)  202-20-00,  +375  (44)  575-06-97  E-mail:  dekor-si@mail.ru  www.dekorus.by   ;Минск
﻿12.01.2022; Добрый  день.  Скажите  что  означает  эта  маркировка  на  изделиях?  Столкнулись  с  проблемой,  угловые  элементы  не  стыкуются  с  молдингами  в  случае  различия  указанной  маркировки.  И  наоборот,  в  случае  одинаковой  маркировки  стыковка  идеальная.  Дилер  не  смог  ответить  на  этот  вопрос  и  предложил  устранить  несоответствие  путём  шпаклевания  и  последующей  полировки.   ; Добрый  день,  Вячеслав,  передала  Ваш  вопрос  руководителю,  как  только  поступит  информация  мы  свяжемся  с  вами. ;Ростов-на-Дону
﻿12.01.2022; Здравствуйте!  Меня  интересуют  гибкие  плинтусы.  У  заказчика  сталинка,  оставляем  парект  старый  дубовый.  Идеальной  ровной  поверхности  после  циклёвки  не  гарантируют.  Вопрос:  гибкий  плинтус  предназначен  только  для  кривых  стен  или  он  гнется  и  по  форме  кривого  пола?   ; Евгений,  добрый  день!  Менеджер  сервисного  отдела,  свяжется  в  Вами  в  течении  дня.  Спасибо. ;Ростов-на-Дону
﻿13.01.2022; добрый  день.  хочу  купить  несколько  образцов.  как  это  можно  сделать? ; Добрый  день,  Дарья.    наш  менеджер  свяжется  с  Вами  и  пояснит  как  это  можно  сделать.   ;Москва
﻿14.01.2022; Здравствуйте  помогите  подобрать  угловой  молдинг  для  арки   ; Добрый  день,  Наталия.    с  Вами  свяжется  наш  менеджер  и  поможет  подобрать  необходимый  молдинг.   ;Москва
﻿14.01.2022; Какие  модели  плинтуса  у  вас  есть  из  материала  Композит? ; Добрый  день,  менеджер  свяжется  с  вами  в  ближайшее  время. ;Москва
